Date,Chi phí Marketing,Doanh thu,Paid Revenue 1,Sales_Revenue
2020-07-01,10748069.0,28226043.478260867,23453000.0,998000.0
2020-07-02,8180958.0,15727304.347826086,15250000.0,499000.0
2020-07-03,9986800.0,33951652.17391305,27725000.0,25449000.0
2020-07-04,5268042.0,31543434.782608695,27725000.0,0.0
2020-07-05,6757583.0,35058130.43478261,31717000.0,0.0
2020-07-06,7871447.0,28182652.173913043,21956000.0,0.0
2020-07-07,10734368.0,38898260.86956522,32216000.0,0.0
2020-07-08,9981559.0,49457217.391304344,41916000.0,499000.0
2020-07-09,8034996.0,63220086.95652174,53175000.0,0.0
2020-07-10,8245253.0,47727347.82608695,41978000.0,499000.0
2020-07-11,8963498.0,39681347.82608695,34431000.0,0.0
2020-07-12,8021494.0,35133043.47826087,28863000.0,0.0
2020-07-13,7278578.0,26794130.43478261,23453000.0,0.0
2020-07-14,10817205.0,34691347.82608695,28942000.0,0.0
2020-07-15,7284868.0,24015043.478260867,18743000.0,0.0
2020-07-16,5837361.0,19133521.739130434,16248000.0,0.0
2020-07-17,5455199.0,24342521.739130437,21956000.0,0.0
2020-07-18,5519532.0,13386217.391304348,10479000.0,0.0
2020-07-19,6055162.0,30089826.086956523,25449000.0,0.0
2020-07-20,6432922.0,39247434.782608695,34930000.0,499000.0
2020-07-21,7772739.0,36034434.782608695,31218000.0,0.0
2020-07-22,6280236.0,27293130.43478261,22954000.0,0.0
2020-07-23,4929962.0,18721304.347826086,18244000.0,0.0
2020-07-24,2267432.0,13249913.043478262,11039000.0,0.0
2020-07-25,6237369.0,20411521.739130434,17526000.0,0.0
2020-07-26,5798243.0,18354521.739130434,13473000.0,0.0
2020-07-27,6042189.0,10978000.0,8483000.0,0.0
2020-07-28,2794121.0,12908913.043478262,7984000.0,0.0
2020-07-29,2595304.0,12791565.217391305,0.0,0.0
2020-07-30,2491425.0,8483000.0,0.0,0.0
2020-07-31,117176837.0,16857521.739130434,0.0,0.0
2020-08-01,15226314.0,20108130.43478261,16767000.0,11976000.0
2020-08-02,15533118.0,21305130.43478261,17964000.0,6986000.0
2020-08-03,16334201.0,24646260.86956522,17964000.0,799000.0
2020-08-04,18884385.0,34964521.73913044,26946000.0,499000.0
2020-08-05,20683981.0,32867869.56521739,25231000.0,0.0
2020-08-06,11531551.0,34025478.26086956,30780000.0,0.0
2020-08-07,14449788.0,32529478.260869566,28785000.0,0.0
2020-08-08,11385135.0,21370217.391304348,19461000.0,0.0
2020-08-09,20541849.0,33953695.652173914,23453000.0,0.0
2020-08-10,10932762.0,25718086.95652174,21518000.0,0.0
2020-08-11,5834178.0,7266000.0,7266000.0,0.0
2020-08-12,23185144.0,45515434.782608695,41697000.0,0.0
2020-08-13,16150723.0,33716043.47826087,28943000.0,0.0
2020-08-14,9015000.0,16204608.695652174,15250000.0,0.0
2020-08-15,12381442.0,18354521.739130434,15968000.0,0.0
2020-08-16,9300118.0,24348434.782608695,20031000.0,0.0
2020-08-17,9624149.0,32107521.739130437,29721000.0,0.0
2020-08-18,7780476.0,24711347.826086957,19461000.0,0.0
2020-08-19,7553419.0,17701608.695652172,16248000.0,0.0
2020-08-20,7919331.0,16380217.391304348,14471000.0,0.0
2020-08-21,8314201.0,16423608.695652174,15469000.0,0.0
2020-08-22,10441382.0,27379913.04347826,25449000.0,0.0
2020-08-23,12637037.0,32169304.347826086,31692000.0,0.0
2020-08-24,17660086.0,44423130.43478261,36899000.0,0.0
2020-08-25,35266308.0,92697173.91304347,61848000.0,0.0
2020-08-26,36211296.0,83947000.0,58854000.0,0.0
2020-08-27,30753408.0,73813260.86956522,25215000.0,0.0
2020-08-28,22320334.0,57038260.86956522,11434000.0,0.0
2020-08-29,43344219.0,113762086.95652175,7516000.0,0.0
2020-08-30,39050105.0,98971739.13043478,1879000.0,0.0
2020-08-31,32243234.0,76553434.7826087,499000.0,0.0
2020-09-01,20656580.0,59458913.043478265,52395000.0,25948000.0
2020-09-02,20648329.0,65703000.0,59572000.0,2495000.0
2020-09-03,23832632.0,57667043.47826087,52894000.0,0.0
2020-09-04,25683796.0,68638739.13043478,64343000.0,998000.0
2020-09-05,24553638.0,51679043.47826087,46906000.0,1497000.0
2020-09-06,19721233.0,54667739.13043478,50372000.0,0.0
2020-09-07,25410818.0,82888478.26086956,74297000.0,0.0
2020-09-08,23897806.0,56170043.47826087,51397000.0,0.0
2020-09-09,23880305.0,44233525.0,28621525.0,0.0
2020-09-10,27255333.0,57016173.91304348,47904000.0,0.0
2020-09-11,22576861.0,43175347.82608696,37925000.0,0.0
2020-09-12,25796595.0,47189043.47826087,42416000.0,0.0
2020-09-13,17843858.0,40692173.91304348,37924000.0,0.0
2020-09-14,14678619.0,39724739.13043478,35429000.0,0.0
2020-09-15,25797643.0,71044391.30434783,65868000.0,0.0
2020-09-16,37547316.0,79471173.91304348,70858000.0,0.0
2020-09-17,29921887.0,66333304.347826086,59725000.0,0.0
2020-09-18,21917488.0,43781826.086956516,40918000.0,0.0
2020-09-19,14976928.0,36100521.73913044,33714000.0,0.0
2020-09-20,12442338.0,29482521.739130434,27096000.0,0.0
2020-09-21,7760415.0,20652217.391304348,18244000.0,0.0
2020-09-22,10404853.0,22772217.391304348,19865000.0,0.0
2020-09-23,9651156.0,31805826.086956523,27944000.0,0.0
2020-09-24,14493484.0,29326000.0,25012000.0,0.0
2020-09-25,16074467.0,46255130.43478261,39421000.0,0.0
2020-09-26,15580048.0,35558130.43478261,26728000.0,0.0
2020-09-27,11782287.0,26088565.217391305,14253000.0,0.0
2020-09-28,10554957.0,19309130.43478261,4990000.0,0.0
2020-09-29,9017435.0,13798434.782608695,0.0,0.0
2020-09-30,8316485.0,10500304.347826088,898000.0,0.0
2020-10-02,0.0,0.0,0.0,499000.0
